Name,Location,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Yasu Toronto,"81 Harbord St, Toronto, ON M5S 1G4",5–11:30p.m.,5–11:30p.m.,6–11p.m.,6–11p.m.,6–11p.m.,6–11p.m.,5–11:30p.m.
Saku Sushi,"478 Queen St W, Toronto, ON M5V 2B2",12–11:30p.m.,12–10:30p.m.,11:30a.m.–3:30p.m.,11:30a.m.–3:30p.m.,11:30a.m.–3:30p.m.,11:30a.m.–3:30p.m.,11:30a.m.–3:30p.m.
Shunoko,"1201 St Clair Ave W, Toronto, ON M6E 1B5",12–3p.m.,Closed,5–10:30p.m.,5–10:30p.m.,5–10:30p.m.,12–3p.m.,12–3p.m.
Sushi on Bloor,"525 Bloor St W, Toronto, ON M5S 1Y4",12p.m.–12a.m.,12–10p.m.,11:30a.m.–11:30p.m.,11:30a.m.–11:30p.m.,11:30a.m.–11:30p.m.,11:30a.m.–11:30p.m.,11:30a.m.–12a.m.
To-Ne Sushi,"414 Queen St W, Toronto, ON M5V 2A7",12–11p.m.,4–10p.m.,11:30a.m.–11p.m.,11:30a.m.–11p.m.,11:30a.m.–11p.m.,11:30a.m.–11p.m.,11:30a.m.–11p.m.
Mazz Sushi,"993 Bloor St W, Toronto, ON M6H 1M1",4:30–11p.m.,Closed,11a.m.–11p.m.,11a.m.–11p.m.,11a.m.–11p.m.,11a.m.–11p.m.,11a.m.–11p.m.
Spring Sushi,"10 Dundas St E #4, Toronto, ON M5B 2G9",11a.m.–11:30p.m.,12–10:30p.m.,11a.m.–10:30p.m.,11a.m.–10:30p.m.,11a.m.–10:30p.m.,11a.m.–10:30p.m.,11a.m.–11:30p.m.
Sushi Kaji Restaurant,"860 The Queensway, Etobicoke, ON M8Z 1N7",6–9p.m.,6–9p.m.,Closed,Closed,6–9p.m.,6–9p.m.,6–9p.m.
Yuzu No Hana,"236 Adelaide St W, Toronto, ON M5H 1W7",11:30a.m.–10:30p.m.,5–10:30p.m.,Closed,11:30a.m.–10:30p.m.,11:30a.m.–10:30p.m.,11:30a.m.–10:30p.m.,11:30a.m.–10:30p.m.
Mi-Ne Sushi,"325 Bremner Blvd, Toronto, ON M5V 3V3",12–10:30p.m.,12–9:30p.m.,11:30a.m.–10:30p.m.,11:30a.m.–10:30p.m.,11:30a.m.–10:30p.m.,11:30a.m.–10:30p.m.,11:30a.m.–10:30p.m.
